# This is a list of Dutch ministery governmental websites.
# Source for this file is https://github.com/openstate/datasets/blob/master/government_domain_names/Rijksoverheid.csv
# ar = Algemene Rekenkamer
# az = Algemene Zaken
# buza = Buitenlandse Zaken
# bzk = Binnenlandse Zaken en Koninkrijksrelaties
# caop = Centrum voor Arbeidsverhoudingen Overheidspersoneel
# def = Defensie
# ek = 
# ezk = Economische Zaken en Klimaat
# fin = Financiën
# ienw = Infrastructuur en Waterstaat
# jenv = Justitie en Veiligheid
# lnv = Landbouw, Natuur en Voedselkwaliteit
# no
# ocw = Onderwijs, Cultuur en Wetenschap
# rvs = Raad voor Volksgezondheid en Samenleving
# szw = Sociale Zaken en Werkgelegenheid
# tk
# vws = Volksgezondheid, Welzijn en Sport
enterpriseeuropenetwork.nl,ezk
ep-online.nl,ezk
eranetbioenergy.net,ezk
europeanpartnership-responsibleminerals.eu,ezk
ewnederland.nl,ezk
expertisecentrumwarmte.nl,ezk
ezoefapp.nl,ezk
frisse-scholen.nl,ezk
gedragstoets.nl,ezk
greendeals.nl,ezk
grondstoffenscanner.nl,ezk
guaranteeforum.eu,ezk
helpdeskbodem.nl,ezk
higherlevel.nl,ezk
iedereendoetwat.nl,ezk
implementatiecoachdi.nl,ezk
internationaalondernemen.nl,ezk
kcb.nl,ezk
kemprogramma.nl,ezk
klimaatakkoord.nl,ezk
kvk.nl,ezk
life-ip-deltanatuur.nl,ezk
lokaalklimaatportaal.nl,ezk
ltauptake.eu,ezk
mccg.nl,ezk
meldknop.nl,ezk
meldplichttelecomwet.nl,ezk
meldpunttelecomwet.nl,ezk
mi-cert.nl,ezk
microfoonbanden.nl,ezk
mijnbouwvergunningen.nl,ezk
mijncoronaprotocol.nl,ezk
milieuzones.nl,ezk
monitor-nederlanddigitaal.nl,ezk
mvizet.nl,ezk
nationaleiconen.nl,ezk
nationaleklimaatweken.nl,ezk
nationalicons.nl,ezk
nederlanddigitaal.nl,ezk
nettrofee.nl,ezk
nlog.nl,ezk
nlplatform.com,ezk
nl-works.nl,ezk
opdrachtgeversforum.nl,ezk
overalsnelinternet.nl,ezk
pianoo-congres.nl,ezk
pianoo.nl,ezk
platformduurzamehuisvesting.nl,ezk
processinnovation.nl,ezk
quicktelecomscan.nl,ezk
randstad380kv-noordring.nl,ezk
randstad380kv-zuidring.nl,ezk
rijkszaak.nl,ezk
rva.nl,ezk
rvomagazines.nl,ezk
rvo.nl,ezk
samensnelinternet.nl,ezk
schadedoormijnbouw.nl,ezk
ser.nl,ezk
serviceinfoapp.nl,ezk
snmedia.nl,ezk
sodm.nl,ezk
spaceoffice.nl,ezk
staatvanhetmkb.nl,ezk
tcbb.nl,ezk
techleap.nl,ezk
tenderned.nl,ezk
tno.nl,ezk
topsectorenergie.nl,ezk
topsectoren.nl,ezk
tradeandinnovate.nl,ezk
transparantiebenchmark.nl,ezk
veiliginternetten.nl,ezk
waarborg.nl,ezk
waterasleverage.org,ezk
werkenvoorderva.nl,ezk
windenergie.nl,ezk
windopzee.nl,ezk
wkotool.nl,ezk
zuid-west380kv.nl,ezk
afm.nl,fin
amlc.eu,fin
amlc.nl,fin
bdmuseum.nl,fin
bekijkjepensioenregeling.nl,fin
belastingdienst-cn.nl,fin
belastingdienst.nl,fin
belastingdienst-ondernemerscheck.nl,fin
customsnl-insight.nl,fin
diginbft.nl,fin
dnb.nl,fin
domeinenrz.nl,fin
douane-inzicht.nl,fin
dsta.nl,fin
eurovignet.nl,fin
eurovignettes.eu,fin
fcinet.org,fin
financieelfittewerknemers.nl,fin
fiod.nl,fin
fiscalemonitor.nl,fin
geldlessen.nl,fin
maror.nl,fin
pleio.nl,fin
prinsjesdagtool.nl,fin
rijksacademie.nl,fin
rijksbegroting.nl,fin
rijksfinancien.nl,fin
toolboxbeleidsevaluaties.nl,fin
waarderingskamer.nl,fin
weekvanhetgeld.nl,fin
wijzeringeldzaken.nl,fin
2todrive.nl,ienw
a16rotterdam.nl,ienw
a1oost.nl,ienw
a27a12ringutrecht.nl,ienw
a27houtenhooipolder.nl,ienw
a28a1knooppunthoevelaken.nl,ienw
a4burgerveen-n14.nl,ienw
a4haaglanden-n14.nl,ienw
a58tilburgbreda.nl,ienw
a6zonlelystaddronten.nl,ienw
aandeslagmetdeomgevingswet.nl,ienw
aaninhetdonker.nl,ienw
actuelewaterdata.nl,ienw
afvalcirculair.nl,ienw
agendaijsselmeergebied2050.nl,ienw
agendavoorhetwaddengebied2050.nl,ienw
ahn.nl,ienw
aimonline.nl,ienw
aquo.nl,ienw
asbestvolgsysteem.nl,ienw
autoriteitnvs.nl,ienw
basisinformatie-overstromingen.nl,ienw
basismonitoring.nl,ienw
basismonitoringwadden.nl,ienw
beheerautoriteitwadden.nl,ienw
beheerdetoekomst.nl,ienw
beterbenutten.nl,ienw
bics.nl,ienw
blankenburgverbinding.nl,ienw
bodemloket.nl,ienw
bodemplus.nl,ienw
bodemrichtlijn.nl,ienw
bodemvizier.nl,ienw
bouwplaatsirm.nl,ienw
brzoplus.nl,ienw
bsv.nu,ienw
building-with-nature.eu,ienw
bun-k.nl,ienw
cbr.nl,ienw
charmprogramma.nl,ienw
charmprogramme.com,ienw
circularfestivals.nl,ienw
climatescenarios.nl,ienw
clo.nl,ienw
conferentie-ce.nl,ienw
coordinatiestroomlijn.nl,ienw
corridoramsterdamhoorn.nl,ienw
dcc-ienw.nl,ienw
deafsluitdijk.nl,ienw
deltacoalition.net,ienw
deltaprogramma.nl,ienw
deltaviewer.nl,ienw
digilef.nl,ienw
dischargetest.com,ienw
doortrappen.nl,ienw
dutchoffshorewindatlas.nl,ienw
duurzaamheidsroutea35.nl,ienw
energiebesparingovl.nl,ienw
enwinfo.nl,ienw
ertms-nl.nl,ienw
euro4m.eu,ienw
fairproject.org,ienw
gebiedsagendawadden2050.nl,ienw
geleacademie.nl,ienw
globemission.eu,ienw
globio.info,ienw
grenzeloosienm.nl,ienw
grenzeloosienw.nl,ienw
grknmi.nl,ienw
helpdeskwater.nl,ienw
hiswa.nl,ienw
hwbp.nl,ienw
iamcdocumentation.eu,ienw
ibki.nl,ienw
ie2020.nl,ienw
ie2021.nl,ienw
ie20.nl,ienw
ienc-kennisportaal.nl,ienw
ikpasophetwad.nl,ienw
ilent.nl,ienw
immissietoets.nl,ienw
incidentmanagement.nl,ienw
infomil.nl,ienw
informatiehuismarien.nl,ienw
infra-web.nl,ienw
innova58.nl,ienw
innovatie-estafette.nl,ienw
innovatieexpo2020.nl,ienw
innovatieexpo2021.nl,ienw
innovatietoezicht.nl,ienw
ishetafval.nl,ienw
jaarberichtrijkswaterstaat.nl,ienw
kennisknooppuntparticipatie.nl,ienw
kennismarkerwadden.nl,ienw
kennisnetwerkspv.nl,ienw
kiesdefiets.nl,ienw
kimnet.nl,ienw
klimaatatlas.nl,ienw
klimaatscenarios.nl,ienw
knmi2.nl,ienw
knmidata.nl,ienw
knmidc.org,ienw
knmi.nl,ienw
knmiprojects.nl,ienw
knooppunt-hoevelaken.nl,ienw
komveiligthuis.nl,ienw
krmportaal.nl,ienw
krmrapportagetool.nl,ienw
lancewadplan.nl,ienw
lap3.nl,ienw
lavsinfo.nl,ienw
lckva.nl,ienw
leerplatformmirt.nl,ienw
leerportaalienw.nl,ienw
lemmer-delfzijl.nl,ienw
lma.nl,ienw
locov.nl,ienw
loketenergierws.nl,ienw
luchtvaartgesprek.nl,ienw
luchtvaartindetoekomst.nl,ienw
luchtvaartmeteo.nl,ienw
lvnl.nl,ienw
maatwerkvoormensen.nl,ienw
magazinesrijkswaterstaat.nl,ienw
makingwavesnl.nl,ienw
maritiemehavenenbinnenhavenmonitor.nl,ienw
meerenbeterrecyclen.nl,ienw
meermetminderplastic.nl,ienw
meldpuntbodemkwaliteit.nl,ienw
mirta15papendrechtgorinchem.nl,ienw
mirta20nieuwerkerkgouda.nl,ienw
mirta2deilvught.nl,ienw
mirta67leenderheidezaarderheiken.nl,ienw
mirtnowa.nl,ienw
mirtoostkantamsterdam.nl,ienw
mirtoverzicht.nl,ienw
mirtverkenninga1-a30.nl,ienw
mjpo.nl,ienw
mobiliteitsscan-info.nl,ienw
mobilitylab.nl,ienw
monozakelijk.nl,ienw
monroeproject.eu,ienw
move-rdh.nl,ienw
mvicongres.nl,ienw
mvicriteria.nl,ienw
n35wijthmennijverdal.nl,ienw
n3werkzaamheden.nl,ienw
nas-adaptatietool.nl,ienw
nationaalovberaad.nl,ienw
nationaleenergieatlas.nl,ienw
natura2000waddengebied.nl,ienw
natuurlijkveilig.nl,ienw
ndw.nu,ienw
nieuwsbriefdor.nl,ienw
nieuwsienw.nl,ienw
niwo.nl,ienw
nlflag.nl,ienw
noordzeeloket.nl,ienw
northseaportal.eu,ienw
omgevingsloket.nl,ienw
omgevingswijzer.org,ienw
on2013.nl,ienw
onswater.nl,ienw
ontsnippering.nl,ienw
opwegmetwaterstof.nl,ienw
orfeus-eu.org,ienw
overlegorgaanfysiekeleefomgeving.nl,ienw
overstroomik.nl,ienw
parismou.org,ienw
partnerportaalienw.nl,ienw
pathways-project.nl,ienw
pbl.nl,ienw
platformafvalcirculair.nl,ienw
platformduurzaamovenspoor.nl,ienw
platformparticipatie.nl,ienw
platformwow.nl,ienw
povmacrostabiliteit.nl,ienw
povm.nl,ienw
pov-piping.nl,ienw
rdw.nl,ienw
rijbewijs.nl,ienw
rijksinspecties.nl,ienw
rijkswaterstaatdata.nl,ienw
rijkswaterstaat.nl,ienw
rijkswaterstaatstrooit.nl,ienw
rijkswaterstaatverkeersinformatie.nl,ienw
risicokaart.nl,ienw
rli.nl,ienw
rorportaal.nl,ienw
ruimtelijkeadaptatie.nl,ienw
rwscirculair.nl,ienw
rwscregelaar.nl,ienw
rwsduurzamemobiliteit.nl,ienw
rwseconomie.nl,ienw
rwsenvironment.eu,ienw
rwsinnoveert.nl,ienw
rwsleefomgeving.nl,ienw
rwsnatura2000.nl,ienw
rwssportdag.nl,ienw
rwsupdate.nl,ienw
rwsverkeersinfo.nl,ienw
samenwerkenaanriviernatuur.nl,ienw
sawa-vth.nl,ienw
sbr-wonen.nl,ienw
schadeschap.nl,ienw
schakeldagen.nl,ienw
schoneluchtakkoord.nl,ienw
schonerivieren.org,ienw
slimwatermanagement.nl,ienw
slotcoordination.nl,ienw
sociaalfondsminienw.nl,ienw
socrates2.org,ienw
solarhighways.eu,ienw
stimva.nl,ienw
suurhoffbrug.nl,ienw
tcbodem.nl,ienw
temis.nl,ienw
topcorridors.com,ienw
topshuis.nl,ienw
vaarweginformatie.nl,ienw
vananaarbeter.nl,ienw
vangbuitenshuis.nl,ienw
vang-hha.nl,ienw
verkeersonderneming.nl,ienw
verkeersveiligheidscampagnes.nl,ienw
versnellingshuisce.nl,ienw
via15.nl,ienw
vindelkaart.nl,ienw
vrachtwagenheffing.nl,ienw
wabes.nl,ienw
waddenatlas.nl,ienw
waddenbarometer.nl,ienw
waddenbeheerautoriteit.nl,ienw
waddenloket.nl,ienw
waddensea.nl,ienw
waddenzee.nl,ienw
waterbeschikbaarheid.nl,ienw
waterbodemrichtlijn.nl,ienw
waterveiligheidsportaal.nl,ienw
weeralarm.nl,ienw
welvaartenleefomgeving.nl,ienw
wlo2015.nl,ienw
wozep.nl,ienw
zeeweringen.nl,ienw
aandachtvoorelkaar.nl,jenv
acvz.org,jenv
adviescommissievoorvreemdelingenzaken.nl,jenv
adviescommissieweigerendeobservandi.nl,jenv
alertonline.nl,jenv
alleenjijbepaalt.nl,jenv
amberalert.nl,jenv
anprnet.nl,jenv
autoriteitpersoonsgegevens.nl,jenv
bankdataretrievalportal.nl,jenv
bestandenpostbus.nl,jenv
bezorgdedienders.nl,jenv
brandweer.nl,jenv
bureauft.nl,jenv
burgernet.nl,jenv
c2000.nl,jenv
cao-politie.nl,jenv
cert.nl,jenv
cjib.nl,jenv
coa.nl,jenv
coldcasekalender.nl,jenv
collectiefrima.nl,jenv
corpolitie.nl,jenv
courtmh17.com,jenv
cparegister.nl,jenv
crisisacceptatie.nl,jenv
crisis.nl,jenv
crisistest.nl,jenv
cvta.nl,jenv
cybersecurityalliantie.nl,jenv
cybersecurityraad.nl,jenv
deltaflexjenvmobiliteitscentrum.nl,jenv
dienstterugkeerenvertrek.nl,jenv
discs.nl,jenv
dji.nl,jenv
dutch-id-documents.nl,jenv
dutchrapporteur.nl,jenv
duty-to-return.nl,jenv
emnmagazines.nl,jenv
emnnetherlands.nl,jenv
federatieveservice.nl,jenv
festivalforensischezorg.nl,jenv
fiu-nederland.nl,jenv
forensic-akademie.nl,jenv
forensicinstitute.nl,jenv
forensischezorg.nl,jenv
forensischinstituut.nl,jenv
gemhofvanjustitie.org,jenv
haaglandenveilig.nl,jenv
halt.nl,jenv
hogeraad.nl,jenv
hulpbijprivacy.nl,jenv
icov.nl,jenv
identiteitsdocumenten.nl,jenv
ifv.nl,jenv
ikbenhandelaar.nl,jenv
impactzuid.nl,jenv
indjaarverslag.nl,jenv
ind.nl,jenv
infoterugkeer.nl,jenv
inhuurdeskpolitie.nl,jenv
in-made.nl,jenv
innovatiecongresjenv.nl,jenv
innoveermeemetjenv.nl,jenv
inspectie-jenv.nl,jenv
internetconsultatie.nl,jenv
ivcm.nl,jenv
jaarverslagrechtspraak.nl,jenv
jenvconnect.nl,jenv
jetelefoondebaas.nl,jenv
jeugdconnect.nl,jenv
jongerenteam.nl,jenv
justid.nl,jenv
justis.nl,jenv
justitieconnect.nl,jenv
justitieleictorganisatie.nl,jenv
justitieleinterventies.nl,jenv
kansspelautoriteit.nl,jenv
kbvg.nl,jenv
kcwj.nl,jenv
kcwjz.nl,jenv
kennisplatformondermijning.nl,jenv
keurmerk.nl,jenv
kinderbescherming.nl,jenv
kombijdepolitie.nl,jenv
landelijkeadviescommissieplaatsing.nl,jenv
lbio.nl,jenv
ltfo.nl,jenv
maakhetzeniettemakkelijk.nl,jenv
mensenrechten.nl,jenv
mh17magazine.nl,jenv
mijnnfi.nl,jenv
mijnontwikkelhuis.nl,jenv
mijnslachtofferzaak.nl,jenv
mycoa.nl,jenv
naarhetiak.nl,jenv
nationaalrapporteur.nl,jenv
nctv.nl,jenv
nidos.nl,jenv
nifp.nl,jenv
nrgd.nl,jenv
nuclearforensics.eu,jenv
oidji.nl,jenv
om.nl,jenv
onderzoeksraad.nl,jenv
opnieuwthuis.nl,jenv
ouders-uit-elkaar.nl,jenv
passionado.nl,jenv
pgainterventietool.nl,jenv
politieacademie.nl,jenv
politieenwetenschap.nl,jenv
politiekeambtsdragers.nl,jenv
politie.nl,jenv
politieorkest.nl,jenv
politieplanner.nl,jenv
politiesport.nl,jenv
prosecutionservice.nl,jenv
puntenstelsel.nl,jenv
pzp.nl,jenv
rechtenoverheid.nl,jenv
rechtsbijstand.nl,jenv
rechtspraak.nl,jenv
rechtvoorjou.nl,jenv
rechtwijzer.nl,jenv
reclassering.nl,jenv
riecis.nl,jenv
riec.nl,jenv
rijksrecherche.nl,jenv
rsj.nl,jenv
rvdkraadsnet.nl,jenv
rvr.org,jenv
sanctieuitvoering.nl,jenv
schadefonds.nl,jenv
slachtofferinformatie-om.nl,jenv
slachtofferportaal.nl,jenv
ssc-i.nl,jenv
ssci.nl,jenv
ssr.nl,jenv
stapvooruit.nl,jenv
stopheling.nl,jenv
strafrechtketen.nl,jenv
summercourt.nl,jenv
tactoolnrgd.nl,jenv
teamwork-against-trafficking-for-labour-exploitation.nl,jenv
tegengaanradicalisering.nl,jenv
terugvoerplicht.nl,jenv
thegfce.org,jenv
toegangtotdeoverheid.nl,jenv
toezichtopboa.nl,jenv
usar.nl,jenv
validatie.nl,jenv
veiligheidbegintbijvoorkomen.nl,jenv
verlofadviescollege.nl,jenv
verwijzingsportaalbankgegevens.nl,jenv
vraaghetdepolitie.nl,jenv
vragengeneratorbibob.nl,jenv
vreemdelingendocumenten.nl,jenv
vreemdelingenvisie.nl,jenv
vvg-lenp.nl,jenv
watdevog.nl,jenv
watkanmijhelpen.nl,jenv
